AccountID,CustomerID,Username,Password,PasswordHash,Balance,AccountType
0,0,user0,123,hashed_password_placeholder,49130.47,Current
1,1,user1,123,hashed_password_placeholder,10890.0,Current
2,2,user2,123,hashed_password_placeholder,1233.31,Current
3,3,user3,123,hashed_password_placeholder,18885.98,Current
4,4,user4,123,hashed_password_placeholder,45010.07,Current
5,5,user5,123,hashed_password_placeholder,25044.29,Current
6,6,user6,123,hashed_password_placeholder,42916.3,Current
7,7,user7,123,hashed_password_placeholder,14958.84,Current
8,8,user8,123,hashed_password_placeholder,41942.36,Current
9,9,user9,123,hashed_password_placeholder,6953.52,Current
10,10,user10,123,hashed_password_placeholder,41773.37,Current
11,11,user11,123,hashed_password_placeholder,14392.76,Current
12,12,user12,123,hashed_password_placeholder,9791.57,Current
13,13,user13,123,hashed_password_placeholder,44048.65,Current
14,14,user14,123,hashed_password_placeholder,42392.36,Current
15,15,user15,123,hashed_password_placeholder,18276.48,Current
16,16,user16,123,hashed_password_placeholder,43700.26,Current
17,17,user17,123,hashed_password_placeholder,41212.82,Current
18,18,user18,123,hashed_password_placeholder,25638.74,Current
19,19,user19,123,hashed_password_placeholder,26496.33,Current
20,20,user20,123,hashed_password_placeholder,11403.06,Current
21,21,user21,123,hashed_password_placeholder,8954.61,Current
22,22,user22,123,hashed_password_placeholder,32541.37,Current
23,23,user23,123,hashed_password_placeholder,30897.31,Current
24,24,user24,123,hashed_password_placeholder,13896.98,Current
25,25,user25,123,hashed_password_placeholder,13017.06,Current
26,26,user26,123,hashed_password_placeholder,13676.29,Current
27,27,user27,123,hashed_password_placeholder,47287.88,Current
28,28,user28,123,hashed_password_placeholder,25808.23,Current
29,29,user29,123,hashed_password_placeholder,47038.37,Current
30,30,user30,123,hashed_password_placeholder,19125.7,Current
31,31,user31,123,hashed_password_placeholder,4545.82,Current
32,32,user32,123,hashed_password_placeholder,26555.34,Current
33,33,user33,123,hashed_password_placeholder,21392.75,Current
34,34,user34,123,hashed_password_placeholder,21561.43,Current
35,35,user35,123,hashed_password_placeholder,3765.15,Current
